Start Time,End Time,BTS Name,Cell ID,BTS IP Address,BSC Name,Call Setup Success Rate,Call Setup Success Rate - NR,Call Setup Success Rate - DR,Call Success Rate,Call Success Rate - NR,Call Success Rate - DR,CS Erlangs,LCLS CS Erlangs,Total Channel Drops,SDCCH Drop Count,SDCCH Drop Rate,SDCCH Drop Rate - NR,SDCCH Drop Rate - DR,TCH Drop Count,TCH Drop Rate Prime,TCH Drop Rate Prime - NR,TCH Drop Rate Prime - DR,TCH Drop Rate,TCH Drop Rate - NR,TCH Drop Rate - DR,Immediate Assignment Procedure Success Rate,Immediate Assignment Procedure Success Rate - NR,Immediate Assignment Procedure Success Rate - DR,SDCCH Blocking Count,SDCCH Blocking Rate,SDCCH Blocking Rate - NR,SDCCH Blocking Rate - DR,TCH Blocking Count,TCH Blocking Rate,TCH Blocking Rate - NR,TCH Blocking Rate - DR,Number Of Tchf Attempts,Number Of Tchf Success,Number Of Tchh Attempts,Number Of Tchh Success,Number Of SDCCH Assignment Attempts,Number Of Successful SDCCH Assignments,External Handover Success Rate,External Handover Success Rate - NR,External Handover Success Rate - DR,Internal Handover Success Rate,Internal Handover Success Rate - NR,Internal Handover Success Rate - DR,Internal Handover Success Rate Prime,Internal Handover Success Rate Prime - NR,Internal Handover Success Rate Prime - DR,Total Voice Call Minutes,Mean Holding Time In Secs,Mean Holding Time In Secs - NR,Mean Holding Time In Secs - DR,DL TCH RxQual 0,DL TCH RxQual 1,DL TCH RxQual 2,DL TCH RxQual 3,DL TCH RxQual 4,DL TCH RxQual 5,DL TCH RxQual 6,DL TCH RxQual 7,UL TCH RxQual 0,UL TCH RxQual 1,UL TCH RxQual 2,UL TCH RxQual 3,UL TCH RxQual 4,UL TCH RxQual 5,UL TCH RxQual 6,UL TCH RxQual 7,UL TCH RxQual 0To5 Percent,DL TCH RxQual 0To5 Percent,SDCCH8 Blocking Count,Number Of Radio Connection Failures SDCCH4,Number Of Radio Connection Failures SDCCH8,Number Of Radio Connection Failures TCH_H,Number Of Radio Connection Failures TCH_F,Number Of SDCCH4 Assignment Attempts,Number Of SDCCH4 Assignment Success,Number Of SDCCH8 Assignment Attempts,Number Of SDCCH8 Assignment Success,SDCCH4 Blocking Count,TCH_H Blocking Count,TCH_F Blocking Count,Number Of Paging Attempts,Percent Smart Pages,Percent Smart Pages - NR,Percent Smart Pages - DR,Smart Paging Success Rate,Smart Paging Success Rate - NR,Smart Paging Success Rate - DR,Number Of Emergency Calls,Number Of Location Updates,Total Number Of Calls,External HandIn Success Rate,External HandIn Success Rate - NR,External HandIn Success Rate - DR,BTS Up Time,Abis Availability,Average TRX Up Time In Secs
Sep 25 2023 - 02:30:00,Sep 25 2023 - 02:45:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,72.0,73.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,72.0,0.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,00:08:32:00,100.0,901.0
Sep 25 2023 - 02:45:00,Sep 25 2023 - 03:00:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,55.0,64.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,55.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,00:08:47:00,100.0,900.0
Sep 25 2023 - 03:00:00,Sep 25 2023 - 03:15:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,74.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,00:09:02:00,100.0,900.0
Sep 25 2023 - 03:15:00,Sep 25 2023 - 03:30:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,44.0,44.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,00:09:16:59,100.0,899.0
Sep 25 2023 - 03:30:00,Sep 25 2023 - 03:45:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,59.0,59.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,00:09:32:00,100.0,900.0
Sep 25 2023 - 03:45:00,Sep 25 2023 - 04:00:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,100.0,3.0,3.0,100.0,3.0,3.0,0.02,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,100.0,67.0,67.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,1.0,3.0,164.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,32.0,3.0,0.0,0.0,0.0,00:09:47:00,100.0,900.0
Sep 25 2023 - 04:00:00,Sep 25 2023 - 04:15:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,100.0,5.0,5.0,100.0,5.0,5.0,0.04,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,100.0,94.0,94.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,3.0,5.0,275.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,40.0,11.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,39.0,5.0,0.0,0.0,0.0,00:10:01:59,100.0,899.0
Sep 25 2023 - 04:15:00,Sep 25 2023 - 04:30:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,100.0,8.0,8.0,88.0,7.0,8.0,0.11,0.0,1.0,0.0,0.0,0.0,75.0,1.0,13.0,1.0,8.0,13.0,1.0,8.0,100.0,75.0,75.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,8.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,45.0,7.0,8.0,750.0,19.0,43.0,22.0,4.0,2.0,0.0,0.0,631.0,0.0,0.0,0.0,0.0,3.0,155.0,70.0,74.0,74.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.0,75.0,0.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,22.0,8.0,0.0,0.0,0.0,00:10:16:59,100.0,900.0
Sep 25 2023 - 04:30:00,Sep 25 2023 - 04:45:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,100.0,4.0,4.0,100.0,4.0,4.0,0.02,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,100.0,73.0,73.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,4.0,115.0,2.0,4.0,5.0,1.0,5.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,0.0,0.0,00:10:32:00,100.0,901.0
Sep 25 2023 - 04:45:00,Sep 25 2023 - 05:00:00,DL5037,50371,10.28.73.26,MNG-KNVVB01,100.0,4.0,4.0,75.0,3.0,4.0,0.02,0.0,1.0,0.0,0.0,0.0,83.0,1.0,25.0,1.0,4.0,25.0,1.0,4.0,99.0,83.0,84.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,84.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,1.0,4.0,142.0,0.0,15.0,7.0,2.0,0.0,0.0,1.0,166.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,94.0,94.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,84.0,83.0,0.0,0.0,0.0,51.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,30.0,4.0,0.0,0.0,0.0,00:10:47:00,100.0,900.0
